,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
479,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
480,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
486,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
487,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
489,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
490,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
496,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
498,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
501,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
503,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
504,Mercedes,C 300,2018,Qara,2.0,Benzin,150000,Avtomat,Xeyr,28500
505,Changan,Deepal S7,2024,Tünd qırmızı,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28400
507,Changan,Deepal S7,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,28100
508,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
514,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
515,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
517,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
518,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
524,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
526,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
528,Mercedes,C 300,2018,Qara,2.0,Benzin,150000,Avtomat,Xeyr,28500
529,Changan,Deepal S7,2024,Tünd qırmızı,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28400
531,Changan,Deepal S7,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,28100
532,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
538,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
539,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
541,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
542,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
548,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
550,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
552,Mercedes,C 300,2018,Qara,2.0,Benzin,150000,Avtomat,Xeyr,28500
553,Changan,Deepal S7,2024,Tünd qırmızı,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28400
555,Changan,Deepal S7,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,28100
556,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
562,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
563,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
565,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
566,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
572,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
574,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
577,Mercedes,C 300,2018,Qara,2.0,Benzin,150000,Avtomat,Xeyr,28500
578,Changan,Deepal S7,2024,Tünd qırmızı,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28400
580,Changan,Deepal S7,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,28100
581,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
587,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
588,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
590,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
591,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
597,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
599,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
602,Mercedes,C 300,2018,Qara,2.0,Benzin,150000,Avtomat,Xeyr,28500
603,Changan,Deepal S7,2024,Tünd qırmızı,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28400
605,Changan,Deepal S7,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,28100
606,Changan,Deepal S7,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28100
612,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
613,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
