,Links,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
2816,https://turbo.az/autos/8928186-toyota-sienta,Toyota,Sienta,2017,Gümüşü,1.5,Mühərrik1.5 L / 74 a.g. / Hibrid,56 850 km,Variator,Xeyr,24 950 AZN
2817,https://turbo.az/autos/9010963-toyota-sienta,Toyota,Sienta,2016,Ağ,1.5,Mühərrik1.5 L / 74 a.g. / Hibrid,44 444 km,Variator,Xeyr,25 500 AZN
2818,https://turbo.az/autos/8858877-ford-f-450,Ford,F-450,2011,Qara,7.0,Mühərrik7.0 L / 400 a.g. / Dizel,8 225 km,Avtomat,Xeyr,125 000 USD
2819,https://turbo.az/autos/9092666-hyundai-ix35,Hyundai,ix35,2013,Qara,2.0,Mühərrik2.0 L / 163 a.g. / Benzin,145 438 km,Avtomat,Xeyr,25 000 AZN
2820,https://turbo.az/autos/8686396-gac-emkoo,GAC,Emkoo,2024,Ağ,1.5,Mühərrik1.5 L / 177 a.g. / Benzin,0 km,Avtomat,Bəli,40 900 AZN
2821,https://turbo.az/autos/9021890-zeekr-001,ZEEKR,001,2023,Göy,0,Mühərrik544 a.g. / Elektro,30 000 km,Reduktor,Xeyr,32 000 USD
2822,https://turbo.az/autos/8871163-hyundai-grandeur,Hyundai,Grandeur,2023,Boz,1.6,Mühərrik1.6 L / 230 a.g. / Hibrid,28 000 km,Avtomat,Xeyr,38 500 USD
2823,https://turbo.az/autos/8736660-gac-empow,GAC,Empow,2024,Qara,1.5,Mühərrik1.5 L / 177 a.g. / Benzin,0 km,Robot,Bəli,37 900 AZN
2824,https://turbo.az/autos/8427490-gac-gs3-emzoom,GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 175 a.g. / Benzin,0 km,Avtomat,Bəli,36 900 AZN
2825,https://turbo.az/autos/9100729-avatr-12,Avatr,12,2024,Yaş Asfalt,0,Mühərrik578 a.g. / Elektro,0 km,Reduktor,Bəli,45 000 USD
2826,https://turbo.az/autos/9096244-volkswagen-tayron,Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Mühərrik1.4 L / 150 a.g. / Plug-in Hibrid,0 km,Robot,Bəli,25 900 USD
